#Collected Data-36
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
20.0000 19.0000
20.0100 23.0000
20.0200 17.0000
20.0300 20.0000
20.0400 30.0000
20.0500 25.0000
20.0600 34.0000
20.0700 21.0000
20.0800 14.0000
20.0900 22.0000
20.1000 21.0000
20.1100 26.0000
20.1200 23.0000
20.1300 18.0000
20.1400 27.0000
20.1500 28.0000
20.1600 31.0000
20.1700 33.0000
20.1800 19.0000
20.1900 21.0000
20.2000 18.0000
20.2100 28.0000
20.2200 22.0000
20.2300 18.0000
20.2400 28.0000
20.2500 29.0000
20.2600 25.0000
20.2700 27.0000
20.2800 23.0000
20.2900 28.0000
20.3000 12.0000
20.3100 35.0000
20.3200 26.0000
20.3300 19.0000
20.3400 23.0000
20.3500 27.0000
20.3600 18.0000
20.3700 32.0000
20.3800 21.0000
20.3900 26.0000
20.4000 19.0000
20.4100 18.0000
20.4200 17.0000
20.4300 26.0000
20.4400 19.0000
20.4500 23.0000
20.4600 24.0000
20.4700 21.0000
20.4800 20.0000
20.4900 15.0000
20.5000 16.0000
20.5100 21.0000
20.5200 24.0000
20.5300 24.0000
20.5400 20.0000
20.5500 35.0000
20.5600 25.0000
20.5700 20.0000
20.5800 17.0000
20.5900 12.0000
20.6000 19.0000
20.6100 26.0000
20.6200 26.0000
20.6300 22.0000
20.6400 26.0000
20.6500 23.0000
20.6600 22.0000
20.6700 22.0000
20.6800 20.0000
20.6900 24.0000
20.7000 26.0000
20.7100 20.0000
20.7200 31.0000
20.7300 30.0000
20.7400 23.0000
20.7500 23.0000
20.7600 25.0000
20.7700 25.0000
20.7800 19.0000
20.7900 17.0000
20.8000 21.0000
20.8100 29.0000
20.8200 25.0000
20.8300 19.0000
20.8400 16.0000
20.8500 25.0000
20.8600 20.0000
20.8700 28.0000
20.8800 19.0000
20.8900 13.0000
20.9000 18.0000
20.9100 18.0000
20.9200 27.0000
20.9300 28.0000
20.9400 29.0000
20.9500 24.0000
20.9600 24.0000
20.9700 30.0000
20.9800 24.0000
20.9900 16.0000
21.0000 18.0000
21.0100 15.0000
21.0200 24.0000
21.0300 26.0000
21.0400 20.0000
21.0500 19.0000
21.0600 23.0000
21.0700 15.0000
21.0800 17.0000
21.0900 22.0000
21.1000 21.0000
21.1100 27.0000
21.1200 20.0000
21.1300 15.0000
21.1400 28.0000
21.1500 21.0000
21.1600 26.0000
21.1700 19.0000
21.1800 22.0000
21.1900 15.0000
21.2000 24.0000
21.2100 21.0000
21.2200 19.0000
21.2300 27.0000
